##### TOURNAMENT E0wVQRCP35ysBKrgIhHS
"#","","Date/Time","Game Num","Crt","Sport","Team 1","Team 2","Score","Score 2","Wait Duration","Play Duration","Submit Source","Type","Match Type","Schedule Id","Match ID"
"34","","2026-09-04T14:20:21.000Z","","11","","Vincent C. & Tony R.","Bill L. & JonMac75☘️","11 - 6","6 - 11","00:01:14","00:05:19","Scoreboard","Live","","","l1KyMmT9qXRyeoQZPqul"
"33","","2026-09-04T14:20:08.000Z","","12","","D-Hub27🍺 & L. Glods ❤️","Karen P. & Daniel Calhoun","8 - 11","11 - 8","00:00:49","00:06:20","Scoreboard","Live","","","ncLc0EmpEujWPt8m6kw6"
"32","","2026-09-04T14:16:51.000Z","","6","","Jason V. & Hersh","Frank R. & Rex B.","11 - 4","4 - 11","00:01:26","00:05:01","Scoreboard","Live","","","75lLAMDziJLFemWiSpIj"
"31","","2026-09-04T14:13:46.000Z","","11","","Bill L. & Vincent C.","Jonathan Gottesmann & Tony R.","11 - 9","9 - 11","00:00:43","00:06:25","Scoreboard","Live","","","bFAXMKNOG4Iie7WsReaZ"
"30","","2026-09-04T14:12:57.000Z","","12","","Ronnie D & L. Glods ❤️","JonMac75☘️ & Karen P.","7 - 11","11 - 7","00:01:15","00:05:52","Scoreboard","Live","","","fdxQXrc45pmYYRirOh4v"
"29","","2026-09-04T14:10:22.000Z","","6","","D-Hub27🍺 & Brendan S.","Rex B. & Hersh","4 - 11","11 - 4","00:00:44","00:03:54","Scoreboard","Live","","","M1T36Yn1azGYEqlCtMve"
"28","","2026-09-04T14:06:36.000Z","","11","","Chase Gold & Daniel Calhoun","Frank R. & Jay C","5 - 11","11 - 5","00:00:39","00:05:56","Scoreboard","Live","","","hGVtOEkNecjRuNN1f8ZB"
"27","","2026-09-04T14:05:48.000Z","","12","","Jonathan Gottesmann & Bill L.","Ronnie D & Karen P.","11 - 4","4 - 11","00:00:29","00:05:35","Scoreboard","Live","","","NPMEJ1sfhvlRdi6aE6Pe"
"26","","2026-09-04T14:05:43.000Z","","6","","D-Hub27🍺 & Hersh","JonMac75☘️ & Rex B.","11 - 7","7 - 11","00:01:05","00:06:32","Scoreboard","Live","","","KzEzeRit9zvorWPnE0JA"
"25","","2026-09-04T13:59:59.000Z","","11","","Vincent C. & Jay C","Tony R. & Jason V.","5 - 11","11 - 5","00:01:02","00:05:38","Scoreboard","Live","","","QyOPFWsS2c0yTpGlPVIb"
"24","","2026-09-04T13:59:42.000Z","","12","","Karen P. & Frank R.","Brendan S. & L. Glods ❤️","8 - 11","11 - 8","00:00:36","00:07:27","Scoreboard","Live","","","Mjoy2eDCKMl1esbEstrC"
"23","","2026-09-04T13:58:04.000Z","","6","","Rex B. & D-Hub27🍺","Eddie & Daniel Calhoun","11 - 9","9 - 11","00:00:59","00:06:09","Scoreboard","Live","","","Wmq28ipN2qgG4fyNepnl"
"22","","2026-09-04T13:53:18.000Z","","11","","Jason V. & Vincent C.","Hersh & Chase Gold","4 - 11","11 - 4","00:01:05","00:04:33","Scoreboard","Live","","","niV8bApCQ4qLvGnzF8xh"
"21","","2026-09-04T13:51:38.000Z","","12","","JonMac75☘️ & Tony R.","Ronnie D & Jonathan Gottesmann","10 - 12","12 - 10","00:00:36","00:07:17","Scoreboard","Live","","","YOdJTDW17cJAVn06GQTD"
"20","","2026-09-04T13:50:54.000Z","","6","","Bill L. & L. Glods ❤️","Jay C & Daniel Calhoun","3 - 11","11 - 3","00:00:47","00:03:46","Scoreboard","Live","","","wp364JEqzRmsavmABxJc"
"19","","2026-09-04T13:47:39.000Z","","11","","Karen P. & D-Hub27🍺","Hersh & Vincent C.","12 - 14","14 - 12","00:00:26","00:10:14","Scoreboard","Live","","","fMHNxEd7WvaFVpviaaKu"
"18","","2026-09-04T13:46:19.000Z","","6","","Chase Gold & Brendan S.","Eddie & Frank R.","11 - 5","5 - 11","00:00:47","00:04:41","Scoreboard","Live","","","FkQqao8vq7UDjePkTaNI"
"17","","2026-09-04T13:43:43.000Z","","12","","Daniel Calhoun & Tony R.","Jay C & JonMac75☘️","11 - 5","5 - 11","00:00:41","00:05:09","Scoreboard","Live","","","3jz9P8mVz45teaifi1rf"
"16","","2026-09-04T13:40:50.000Z","","6","","Jonathan Gottesmann & Jason V.","Frank R. & Brendan S.","8 - 11","11 - 8","00:01:03","00:06:23","Scoreboard","Live","","","3YiYFT10SqVDTHdToa6a"
"15","","2026-09-04T13:37:52.000Z","","12","","Ronnie D & Bill L.","L. Glods ❤️ & Rex B.","11 - 7","7 - 11","00:00:36","00:05:54","Scoreboard","Live","","","yQrIvcAvY0tVh69YPaJr"
"14","","2026-09-04T13:36:57.000Z","","11","","Daniel Calhoun & Hersh","Eddie & Chase Gold","6 - 11","11 - 6","00:01:00","00:04:43","Scoreboard","Live","","","FQuBPD8IIo1gewnNITNq"
"13","","2026-09-04T13:33:22.000Z","","6","","Jonathan Gottesmann & Karen P.","JonMac75☘️ & D-Hub27🍺","12 - 10","10 - 12","00:00:50","00:08:01","Scoreboard","Live","","","nrJHvuwOff84PldqtlPH"
"12","","2026-09-04T13:31:20.000Z","","12","","Frank R. & Jason V.","Jay C & L. Glods ❤️","14 - 15","15 - 14","00:00:48","00:10:12","Scoreboard","Live","","","1IfZp161iVogpmfIFnDU"
"11","","2026-09-04T13:31:12.000Z","","11","","Vincent C. & Chase Gold","Bill L. & Rex B.","4 - 11","11 - 4","00:01:11","00:04:16","Scoreboard","Live","","","YEDyUMKtDoeV4Og5ciCd"
"10","","2026-09-04T13:25:43.000Z","","11","","Eddie & Ronnie D","Brendan S. & Tony R.","8 - 11","11 - 8","00:01:09","00:05:51","Scoreboard","Live","","","rrLVVTJBmnwDFDu4Rn0H"
"9","","2026-09-04T13:24:29.000Z","","6","","Jonathan Gottesmann & Daniel Calhoun","Karen P. & Vincent C.","9 - 11","11 - 9","00:00:42","00:06:33","Scoreboard","Live","","","j2e6zYFG1h8ks0tEBPw9"
"8","","2026-09-04T13:20:18.000Z","","12","","Chase Gold & Rex B.","L. Glods ❤️ & Frank R.","11 - 9","9 - 11","00:01:17","00:07:44","Scoreboard","Live","","","APaRNLq8hW7doehnRbr4"
"7","","2026-09-04T13:18:40.000Z","","11","","Bill L. & Jay C","Hersh & Tony R.","11 - 9","9 - 11","00:00:46","00:09:03","Scoreboard","Live","","","ZyeUAjXW2u8oZvRmJ992"
"6","","2026-09-04T13:17:13.000Z","","6","","D-Hub27🍺 & Jason V.","Ronnie D & JonMac75☘️","9 - 11","11 - 9","00:00:27","00:06:03","Scoreboard","Live","","","lRTZfPNPhXPHBb6jI7HI"
"5","","2026-09-04T13:11:16.000Z","","12","","Chase Gold & L. Glods ❤️","Eddie & Brendan S.","8 - 11","11 - 8","00:00:44","00:06:29","Scoreboard","Live","","","WwlM3AdO4jcwM1jia1mW"
"4","","2026-09-04T13:10:41.000Z","","6","","Rex B. & Jason V.","Jonathan Gottesmann & D-Hub27🍺","9 - 11","11 - 9","00:01:16","00:08:19","Scoreboard","Live","","","XxS8gUSFPQ6ky7mljFo6"
"3","","2026-09-04T13:08:50.000Z","","11","","Karen P. & Bill L.","Frank R. & Ronnie D","11 - 9","9 - 11","00:06:43","00:06:28","Scoreboard","Live","","","Zha1hjj3SqgJEUq7iZot"
"2","","2026-09-04T13:04:01.000Z","","12","","Vincent C. & JonMac75☘️","Eddie & Tony R.","9 - 11","11 - 9","00:05:07","00:06:44","Scoreboard","Live","","","gCpGF7ksBwYwrUJWQjzb"
"1","","2026-09-04T13:01:04.000Z","","6","","Hersh & Jay C","Daniel Calhoun & Brendan S.","11 - 9","9 - 11","00:07:31","00:06:19","Scoreboard","Live","","","VuSzQztpdfYu6KAOdppg"
